pc2 = ;1048576
pc3 = ;6561

r2;pl2;pm2
315;1048261;1048891
387;1048189;1048963
447;1048129;1049023
513;1048063;1049089
525;1048051;1049101
567;1048009;1049143
597;1047979;1049173
1107;1047469;1049683
1197;1047379;1049773
1287;1047289;1049863
1377;1047199;1049953
1437;1047139;1050013
1875;1046701;1050451
2163;1046413;1050739
2205;1046371;1050781
2337;1046239;1050913
2373;1046203;1050949
2385;1046191;1050961
2757;1045819;1051333
2847;1045729;1051423

r2;pl2;ml;pm2;mm
1;1048575;3^1+5^2+11^1+31^1+41^1;1048577;17^1+61681^1
3;1048573;;1048579;7^1+163^1+919^1
5;1048571;;1048581;3^2+263^1+443^1
7;1048569;3^1+193^1+1811^1;1048583;
9;1048567;13^1+79^1+1021^1;1048585;5^1+209717^1
11;1048565;5^1+7^1+29959^1;1048587;3^1+349529^1
13;1048563;3^2+116507^1;1048589;
15;1048561;911^1+1151^1;1048591;19^1+229^1+241^1
17;1048559;;1048593;3^1+7^1+13^1+23^1+167^1
19;1048557;3^1+349519^1;1048595;5^1+209719^1
21;1048555;5^1+43^1+4877^1;1048597;11^1+95327^1
23;1048553;11^1+19^1+29^1+173^1;1048599;3^3+71^1+547^1
25;1048551;3^1+7^3+1019^1;1048601;
27;1048549;;1048603;157^1+6679^1
29;1048547;23^1+45589^1;1048605;3^1+5^1+53^1+1319^1
31;1048545;3^5+5^1+863^1;1048607;7^1+59^1+2539^1
33;1048543;17^1+37^1+1667^1;1048609;
35;1048541;13^1+80657^1;1048611;3^1+17^1+29^1+709^1
37;1048539;3^1+83^1+4211^1;1048613;
39;1048537;7^1+149791^1;1048615;5^1+401^1+523^1

r3;pl3;pm3
8;6553;6569
10;6551;6571
92;6469;6653
112;6449;6673
140;6421;6701
172;6389;6733
200;6361;6761
202;6359;6763
218;6343;6779
232;6329;6793
262;6299;6823
350;6211;6911
388;6173;6949
398;6163;6959
410;6151;6971
430;6131;6991
440;6121;7001
482;6079;7043
508;6053;7069
518;6043;7079

r2;pl2;ml;pm2;mm
2;6559;7^1+937^1;6563;
4;6557;79^1+83^1;6565;5^1+13^1+101^1
8;6553;;6569;
10;6551;;6571;
14;6547;;6575;5^2+263^1
16;6545;5^1+7^1+11^1+17^1;6577;
20;6541;31^1+211^1;6581;
22;6539;13^1+503^1;6583;29^1+227^1
26;6535;5^1+1307^1;6587;7^1+941^1
28;6533;47^1+139^1;6589;11^1+599^1
32;6529;;6593;19^1+347^1
34;6527;61^1+107^1;6595;5^1+1319^1
38;6523;11^1+593^1;6599;
40;6521;;6601;7^1+23^1+41^1
44;6517;7^3+19^1;6605;5^1+1321^1
46;6515;5^1+1303^1;6607;
50;6511;17^1+383^1;6611;11^1+601^1
52;6509;23^1+283^1;6613;17^1+389^1
56;6505;5^1+1301^1;6617;13^1+509^1
58;6503;7^1+929^1;6619;
